"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 30 20:37:04 BDT 2022","Sat Jul 30 20:37:05 BDT 2022","1194","Default Suite","Prothom-Alo","testcase.TCSearch","testcase.TCSearch","search","Search Module",""
"passed","Sat Jul 30 20:37:10 BDT 2022","Sat Jul 30 20:37:11 BDT 2022","470","Default Suite","Prothom-Alo","testcase.TCSearch","testcase.TCSearch","search","Search Module",""
"passed","Sat Jul 30 20:32:08 BDT 2022","Sat Jul 30 20:32:19 BDT 2022","11649","Default Suite","Prothom-Alo","testcase.TCMenuitem","testcase.TCMenuitem","Menu","Checking menu button",""
"passed","Sat Jul 30 20:37:12 BDT 2022","Sat Jul 30 20:37:15 BDT 2022","2309","Default Suite","Prothom-Alo","testcase.TCSearch","testcase.TCSearch","search","Search Module",""
"passed","Sat Jul 30 20:37:02 BDT 2022","Sat Jul 30 20:37:04 BDT 2022","2612","Default Suite","Prothom-Alo","testcase.TCSearch","testcase.TCSearch","search","Search Module",""
"passed","Sat Jul 30 20:37:07 BDT 2022","Sat Jul 30 20:37:08 BDT 2022","1651","Default Suite","Prothom-Alo","testcase.TCSearch","testcase.TCSearch","search","Search Module",""
"passed","Sat Jul 30 20:36:56 BDT 2022","Sat Jul 30 20:36:57 BDT 2022","921","Default Suite","Prothom-Alo","testcase.TCSearch","testcase.TCSearch","search","Search Module",""
"passed","Sat Jul 30 20:37:15 BDT 2022","Sat Jul 30 20:37:16 BDT 2022","792","Default Suite","Prothom-Alo","testcase.TCSearch","testcase.TCSearch","search","Search Module",""
"passed","Sat Jul 30 20:37:00 BDT 2022","Sat Jul 30 20:37:02 BDT 2022","1680","Default Suite","Prothom-Alo","testcase.TCSearch","testcase.TCSearch","search","Search Module",""
"passed","Sat Jul 30 20:37:11 BDT 2022","Sat Jul 30 20:37:12 BDT 2022","1459","Default Suite","Prothom-Alo","testcase.TCSearch","testcase.TCSearch","search","Search Module",""
"passed","Sat Jul 30 19:22:40 BDT 2022","Sat Jul 30 19:23:03 BDT 2022","22612","Default Suite","Prothom-Alo","testcase.TCRegistration","testcase.TCRegistration","registration","Registration testing",""
"passed","Sat Jul 30 20:36:57 BDT 2022","Sat Jul 30 20:37:00 BDT 2022","2482","Default Suite","Prothom-Alo","testcase.TCSearch","testcase.TCSearch","search","Search Module",""
"passed","Sat Jul 30 20:37:06 BDT 2022","Sat Jul 30 20:37:07 BDT 2022","883","Default Suite","Prothom-Alo","testcase.TCSearch","testcase.TCSearch","search","Search Module",""
"passed","Sat Jul 30 18:55:32 BDT 2022","Sat Jul 30 18:55:55 BDT 2022","22676","Default Suite","Prothom-Alo","testcase.TCRegistration","testcase.TCRegistration","registration","Registration testing",""
"passed","Sat Jul 30 19:44:20 BDT 2022","Sat Jul 30 19:44:25 BDT 2022","4353","Default Suite","Prothom-Alo","testcase.TCLogin","testcase.TCLogin","login","Log In testing",""
"passed","Sat Jul 30 20:37:08 BDT 2022","Sat Jul 30 20:37:10 BDT 2022","2183","Default Suite","Prothom-Alo","testcase.TCSearch","testcase.TCSearch","search","Search Module",""
"broken","Sat Jul 30 20:34:44 BDT 2022","Sat Jul 30 20:34:45 BDT 2022","1132","Default Suite","Prothom-Alo","testcase.TCSearch","testcase.TCSearch","search","Search Module",""
